heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
BuscaMonotonaRandomizada,15,10,1,0.05,1651,99.00,0.10
BuscaMonotonaRandomizada,15,10,1,0.03,1904,99.00,0.20
BuscaMonotonaRandomizada,15,10,1,0.03,1675,99.00,0.30
BuscaMonotonaRandomizada,15,10,1,0.02,1843,99.00,0.40
BuscaMonotonaRandomizada,15,10,1,0.03,2722,99.00,0.50
BuscaMonotonaRandomizada,15,10,1,0.02,2688,99.00,0.60
BuscaMonotonaRandomizada,15,10,1,0.02,3501,99.00,0.70
BuscaMonotonaRandomizada,15,10,1,0.03,8374,100.00,0.80
BuscaMonotonaRandomizada,15,10,1,0.02,13203,102.00,0.90
BuscaLocalIterada,15,10,1,0.05,1045,99.00,0.10
BuscaLocalIterada,15,10,1,0.06,1015,99.00,0.20
BuscaLocalIterada,15,10,1,0.09,1019,99.00,0.30
BuscaLocalIterada,15,10,1,0.09,1016,99.00,0.40
BuscaLocalIterada,15,10,1,0.10,1018,99.00,0.50
BuscaLocalIterada,15,10,1,0.12,1014,99.00,0.60
BuscaLocalIterada,15,10,1,0.13,1049,99.00,0.70
BuscaLocalIterada,15,10,1,0.12,1011,99.00,0.80
BuscaLocalIterada,15,10,1,0.12,1008,99.00,0.90
BuscaTabu,15,10,1,0.02,1001,105.00,-1.00
BuscaTabu,15,10,1,0.04,1001,105.00,0.01
BuscaTabu,15,10,1,0.02,1001,105.00,0.02
BuscaTabu,15,10,1,0.02,1001,105.00,0.03
BuscaTabu,15,10,1,0.01,1001,105.00,0.04
BuscaTabu,15,10,1,0.02,1001,105.00,0.05
BuscaTabu,15,10,1,0.02,1001,105.00,0.06
BuscaTabu,15,10,1,0.02,1001,105.00,0.07
BuscaTabu,15,10,1,0.02,1001,105.00,0.08
BuscaTabu,15,10,1,0.02,1001,105.00,0.09
TemperaSimulada,15,10,1,0.00,52,121.00,0.80
TemperaSimulada,15,10,1,0.00,71,121.00,0.85
TemperaSimulada,15,10,1,0.00,110,121.00,0.90
TemperaSimulada,15,10,1,0.00,225,120.00,0.95
TemperaSimulada,15,10,1,0.00,1146,105.00,0.99
BuscaMonotonaRandomizada,15,10,2,0.02,1099,99.00,0.10
BuscaMonotonaRandomizada,15,10,2,0.02,1242,99.00,0.20
BuscaMonotonaRandomizada,15,10,2,0.02,1427,99.00,0.30
BuscaMonotonaRandomizada,15,10,2,0.02,1718,99.00,0.40
BuscaMonotonaRandomizada,15,10,2,0.02,2034,99.00,0.50
BuscaMonotonaRandomizada,15,10,2,0.02,2501,99.00,0.60
BuscaMonotonaRandomizada,15,10,2,0.02,3197,99.00,0.70
BuscaMonotonaRandomizada,15,10,2,0.02,4892,99.00,0.80
BuscaMonotonaRandomizada,15,10,2,0.02,10253,99.00,0.90
BuscaLocalIterada,15,10,2,0.03,1000,99.00,0.10
BuscaLocalIterada,15,10,2,0.06,1000,99.00,0.20
BuscaLocalIterada,15,10,2,0.07,1000,99.00,0.30
BuscaLocalIterada,15,10,2,0.09,1000,99.00,0.40
BuscaLocalIterada,15,10,2,0.09,1000,99.00,0.50
BuscaLocalIterada,15,10,2,0.10,1000,99.00,0.60
BuscaLocalIterada,15,10,2,0.09,1000,99.00,0.70
BuscaLocalIterada,15,10,2,0.10,1000,99.00,0.80
BuscaLocalIterada,15,10,2,0.10,1000,99.00,0.90
BuscaTabu,15,10,2,0.02,1001,99.00,-1.00
BuscaTabu,15,10,2,0.02,1001,99.00,0.01
BuscaTabu,15,10,2,0.02,1001,99.00,0.02
BuscaTabu,15,10,2,0.02,1001,99.00,0.03
BuscaTabu,15,10,2,0.02,1001,99.00,0.04
BuscaTabu,15,10,2,0.02,1001,99.00,0.05
BuscaTabu,15,10,2,0.02,1001,99.00,0.06
BuscaTabu,15,10,2,0.02,1001,99.00,0.07
BuscaTabu,15,10,2,0.02,1001,99.00,0.08
BuscaTabu,15,10,2,0.02,1001,99.00,0.09
TemperaSimulada,15,10,2,0.00,52,121.00,0.80
TemperaSimulada,15,10,2,0.00,71,121.00,0.85
TemperaSimulada,15,10,2,0.00,110,119.00,0.90
TemperaSimulada,15,10,2,0.00,225,112.00,0.95
TemperaSimulada,15,10,2,0.00,1146,99.00,0.99
BuscaMonotonaRandomizada,15,10,3,0.02,1096,94.00,0.10
BuscaMonotonaRandomizada,15,10,3,0.02,1253,94.00,0.20
BuscaMonotonaRandomizada,15,10,3,0.02,1445,94.00,0.30
BuscaMonotonaRandomizada,15,10,3,0.02,1643,94.00,0.40
BuscaMonotonaRandomizada,15,10,3,0.02,1970,94.00,0.50
BuscaMonotonaRandomizada,15,10,3,0.02,2506,94.00,0.60
BuscaMonotonaRandomizada,15,10,3,0.02,3391,94.00,0.70
BuscaMonotonaRandomizada,15,10,3,0.02,4923,94.00,0.80
BuscaMonotonaRandomizada,15,10,3,0.02,9933,94.00,0.90
BuscaLocalIterada,15,10,3,0.02,1000,94.00,0.10
BuscaLocalIterada,15,10,3,0.04,1000,94.00,0.20
BuscaLocalIterada,15,10,3,0.05,1000,94.00,0.30
BuscaLocalIterada,15,10,3,0.05,1000,94.00,0.40
BuscaLocalIterada,15,10,3,0.05,1000,94.00,0.50
BuscaLocalIterada,15,10,3,0.06,1000,94.00,0.60
BuscaLocalIterada,15,10,3,0.06,1000,94.00,0.70
BuscaLocalIterada,15,10,3,0.06,1000,94.00,0.80
BuscaLocalIterada,15,10,3,0.07,1000,94.00,0.90
BuscaTabu,15,10,3,0.02,1000,94.00,-1.00
BuscaTabu,15,10,3,0.02,1000,94.00,0.01
BuscaTabu,15,10,3,0.02,1000,94.00,0.02
BuscaTabu,15,10,3,0.02,1000,94.00,0.03
BuscaTabu,15,10,3,0.02,1000,94.00,0.04
BuscaTabu,15,10,3,0.02,1000,94.00,0.05
BuscaTabu,15,10,3,0.02,1000,94.00,0.06
BuscaTabu,15,10,3,0.02,1000,94.00,0.07
BuscaTabu,15,10,3,0.02,1000,94.00,0.08
BuscaTabu,15,10,3,0.02,1000,94.00,0.09
TemperaSimulada,15,10,3,0.00,52,94.00,0.80
TemperaSimulada,15,10,3,0.00,71,94.00,0.85
TemperaSimulada,15,10,3,0.00,110,94.00,0.90
TemperaSimulada,15,10,3,0.00,225,94.00,0.95
TemperaSimulada,15,10,3,0.00,1000,94.00,0.99
BuscaMonotonaRandomizada,15,10,4,0.02,1109,94.00,0.10
BuscaMonotonaRandomizada,15,10,4,0.02,1251,94.00,0.20
BuscaMonotonaRandomizada,15,10,4,0.02,1426,94.00,0.30
BuscaMonotonaRandomizada,15,10,4,0.02,1616,94.00,0.40
BuscaMonotonaRandomizada,15,10,4,0.02,1958,94.00,0.50
BuscaMonotonaRandomizada,15,10,4,0.02,2463,94.00,0.60
BuscaMonotonaRandomizada,15,10,4,0.02,3339,94.00,0.70
BuscaMonotonaRandomizada,15,10,4,0.02,5153,94.00,0.80
BuscaMonotonaRandomizada,15,10,4,0.02,10535,94.00,0.90
BuscaLocalIterada,15,10,4,0.03,1000,94.00,0.10
BuscaLocalIterada,15,10,4,0.05,1000,94.00,0.20
BuscaLocalIterada,15,10,4,0.05,1000,94.00,0.30
BuscaLocalIterada,15,10,4,0.07,1000,94.00,0.40
BuscaLocalIterada,15,10,4,0.07,1000,94.00,0.50
BuscaLocalIterada,15,10,4,0.08,1000,94.00,0.60
BuscaLocalIterada,15,10,4,0.09,1000,94.00,0.70
BuscaLocalIterada,15,10,4,0.08,1000,94.00,0.80
BuscaLocalIterada,15,10,4,0.09,1000,94.00,0.90
BuscaTabu,15,10,4,0.02,1001,94.00,-1.00
BuscaTabu,15,10,4,0.02,1001,94.00,0.01
BuscaTabu,15,10,4,0.02,1001,94.00,0.02
BuscaTabu,15,10,4,0.02,1001,94.00,0.03
BuscaTabu,15,10,4,0.02,1001,94.00,0.04
BuscaTabu,15,10,4,0.02,1001,94.00,0.05
BuscaTabu,15,10,4,0.02,1001,94.00,0.06
BuscaTabu,15,10,4,0.02,1001,94.00,0.07
BuscaTabu,15,10,4,0.02,1001,94.00,0.08
BuscaTabu,15,10,4,0.02,1001,94.00,0.09
TemperaSimulada,15,10,4,0.00,52,101.00,0.80
TemperaSimulada,15,10,4,0.00,71,99.00,0.85
TemperaSimulada,15,10,4,0.00,110,101.00,0.90
TemperaSimulada,15,10,4,0.00,225,94.00,0.95
TemperaSimulada,15,10,4,0.00,1146,94.00,0.99
BuscaMonotonaRandomizada,15,10,5,0.02,1120,111.00,0.10
BuscaMonotonaRandomizada,15,10,5,0.02,1242,111.00,0.20
BuscaMonotonaRandomizada,15,10,5,0.02,1436,111.00,0.30
BuscaMonotonaRandomizada,15,10,5,0.02,1724,111.00,0.40
BuscaMonotonaRandomizada,15,10,5,0.02,1970,111.00,0.50
BuscaMonotonaRandomizada,15,10,5,0.02,2582,111.00,0.60
BuscaMonotonaRandomizada,15,10,5,0.02,3374,111.00,0.70
BuscaMonotonaRandomizada,15,10,5,0.02,5598,111.00,0.80
BuscaMonotonaRandomizada,15,10,5,0.02,11029,111.00,0.90
BuscaLocalIterada,15,10,5,0.03,1000,111.00,0.10
BuscaLocalIterada,15,10,5,0.06,1000,111.00,0.20
BuscaLocalIterada,15,10,5,0.07,1000,111.00,0.30
BuscaLocalIterada,15,10,5,0.08,1000,111.00,0.40
BuscaLocalIterada,15,10,5,0.09,1000,111.00,0.50
BuscaLocalIterada,15,10,5,0.10,1000,111.00,0.60
BuscaLocalIterada,15,10,5,0.10,1000,111.00,0.70
BuscaLocalIterada,15,10,5,0.10,1000,111.00,0.80
BuscaLocalIterada,15,10,5,0.10,1000,111.00,0.90
BuscaTabu,15,10,5,0.02,1003,111.00,-1.00
BuscaTabu,15,10,5,0.02,1003,111.00,0.01
BuscaTabu,15,10,5,0.02,1003,111.00,0.02
BuscaTabu,15,10,5,0.02,1003,111.00,0.03
BuscaTabu,15,10,5,0.02,1003,111.00,0.04
BuscaTabu,15,10,5,0.02,1003,111.00,0.05
BuscaTabu,15,10,5,0.02,1003,111.00,0.06
BuscaTabu,15,10,5,0.02,1003,111.00,0.07
BuscaTabu,15,10,5,0.02,1003,111.00,0.08
BuscaTabu,15,10,5,0.02,1003,111.00,0.09
TemperaSimulada,15,10,5,0.00,52,134.00,0.80
TemperaSimulada,15,10,5,0.00,71,134.00,0.85
TemperaSimulada,15,10,5,0.00,110,134.00,0.90
TemperaSimulada,15,10,5,0.00,225,127.00,0.95
TemperaSimulada,15,10,5,0.00,1146,111.00,0.99
BuscaMonotonaRandomizada,15,10,6,0.02,1098,84.00,0.10
BuscaMonotonaRandomizada,15,10,6,0.02,1264,84.00,0.20
BuscaMonotonaRandomizada,15,10,6,0.02,1429,84.00,0.30
BuscaMonotonaRandomizada,15,10,6,0.02,1649,84.00,0.40
BuscaMonotonaRandomizada,15,10,6,0.02,1963,84.00,0.50
BuscaMonotonaRandomizada,15,10,6,0.02,2520,84.00,0.60
BuscaMonotonaRandomizada,15,10,6,0.02,3454,84.00,0.70
BuscaMonotonaRandomizada,15,10,6,0.01,5036,84.00,0.80
BuscaMonotonaRandomizada,15,10,6,0.02,10062,84.00,0.90
BuscaLocalIterada,15,10,6,0.03,1000,84.00,0.10
BuscaLocalIterada,15,10,6,0.05,1000,84.00,0.20
BuscaLocalIterada,15,10,6,0.05,1000,84.00,0.30
BuscaLocalIterada,15,10,6,0.06,1000,84.00,0.40
BuscaLocalIterada,15,10,6,0.06,1000,84.00,0.50
BuscaLocalIterada,15,10,6,0.07,1000,84.00,0.60
BuscaLocalIterada,15,10,6,0.07,1000,84.00,0.70
BuscaLocalIterada,15,10,6,0.08,1000,84.00,0.80
BuscaLocalIterada,15,10,6,0.08,1000,84.00,0.90
BuscaTabu,15,10,6,0.02,1001,84.00,-1.00
BuscaTabu,15,10,6,0.05,1001,84.00,0.01
BuscaTabu,15,10,6,0.02,1001,84.00,0.02
BuscaTabu,15,10,6,0.02,1001,84.00,0.03
BuscaTabu,15,10,6,0.01,1001,84.00,0.04
BuscaTabu,15,10,6,0.02,1001,84.00,0.05
BuscaTabu,15,10,6,0.02,1001,84.00,0.06
BuscaTabu,15,10,6,0.02,1001,84.00,0.07
BuscaTabu,15,10,6,0.02,1001,84.00,0.08
BuscaTabu,15,10,6,0.02,1001,84.00,0.09
TemperaSimulada,15,10,6,0.00,52,103.00,0.80
TemperaSimulada,15,10,6,0.00,71,86.00,0.85
TemperaSimulada,15,10,6,0.00,110,96.00,0.90
TemperaSimulada,15,10,6,0.00,225,84.00,0.95
TemperaSimulada,15,10,6,0.00,1146,84.00,0.99
BuscaMonotonaRandomizada,15,10,7,0.02,1107,94.00,0.10
BuscaMonotonaRandomizada,15,10,7,0.02,1266,94.00,0.20
BuscaMonotonaRandomizada,15,10,7,0.02,1403,94.00,0.30
BuscaMonotonaRandomizada,15,10,7,0.02,1659,94.00,0.40
BuscaMonotonaRandomizada,15,10,7,0.02,2022,94.00,0.50
BuscaMonotonaRandomizada,15,10,7,0.02,2521,94.00,0.60
BuscaMonotonaRandomizada,15,10,7,0.02,3221,94.00,0.70
BuscaMonotonaRandomizada,15,10,7,0.02,4993,94.00,0.80
BuscaMonotonaRandomizada,15,10,7,0.02,10574,94.00,0.90
BuscaLocalIterada,15,10,7,0.03,1000,94.00,0.10
BuscaLocalIterada,15,10,7,0.05,1000,94.00,0.20
BuscaLocalIterada,15,10,7,0.05,1000,94.00,0.30
BuscaLocalIterada,15,10,7,0.06,1000,94.00,0.40
BuscaLocalIterada,15,10,7,0.07,1000,94.00,0.50
BuscaLocalIterada,15,10,7,0.07,1000,94.00,0.60
BuscaLocalIterada,15,10,7,0.08,1000,94.00,0.70
BuscaLocalIterada,15,10,7,0.08,1000,94.00,0.80
BuscaLocalIterada,15,10,7,0.08,1000,94.00,0.90
